Año;Mes;TOTAL;;;;;;;;;;;;;;;;;;;
2004;enero;27.829;;;;;;;;;;;;;;;;;;;
2004;febrero;27.420;;;;;;;;;;;;;;;;;;;
2004;marzo;29.592;;;;;;;;;;;;;;;;;;;
2004;abril;25.025;;;;;;;;;;;;;;;;;;;
2004;mayo;24.062;;;;;;;;;;;;;;;;;;;
2004;junio;23.949;;;;;;;;;;;;;;;;;;;
2004;julio;26.001;;;;;;;;;;;;;;;;;;;
2004;agosto;20.975;;;;;;;;;;;;;;;;;;;
2004;septiembre;25.303;;;;;;;;;;;;;;;;;;;
2004;octubre;26.596;;;;;;;;;;;;;;;;;;;
2004;noviembre;31.002;;;;;;;;;;;;;;;;;;;
2004;diciembre;30.654;;;;;;;;;;;;;;;;;;;
2005;enero;34.911;;;;;;;;;;;;;;;;;;;
2005;febrero;35.123;;;;;;;;;;;;;;;;;;;
2005;marzo;33.190;;;;;;;;;;;;;;;;;;;
2005;abril;29.276;;;;;;;;;;;;;;;;;;;
2005;mayo;28.343;;;;;;;;;;;;;;;;;;;
2005;junio;30.793;;;;;;;;;;;;;;;;;;;
2005;julio;31.445;;;;;;;;;;;;;;;;;;;
2005;agosto;25.481;;;;;;;;;;;;;;;;;;;
2005;septiembre;28.640;;;;;;;;;;;;;;;;;;;
2005;octubre;28.541;;;;;;;;;;;;;;;;;;;
2005;noviembre;33.953;;;;;;;;;;;;;;;;;;;
2005;diciembre;36.533;;;;;;;;;;;;;;;;;;;
2006;enero;39.486;;;;;;;;;;;;;;;;;;;
2006;febrero;37.640;;;;;;;;;;;;;;;;;;;
2006;marzo;35.076;;;;;;;;;;;;;;;;;;;
2006;abril;29.585;;;;;;;;;;;;;;;;;;;
2006;mayo;31.376;;;;;;;;;;;;;;;;;;;
2006;junio;31.771;;;;;;;;;;;;;;;;;;;
2006;julio;33.135;;;;;;;;;;;;;;;;;;;
2006;agosto;27.078;;;;;;;;;;;;;;;;;;;
2006;septiembre;31.060;;;;;;;;;;;;;;;;;;;
2006;octubre;28.715;;;;;;;;;;;;;;;;;;;
2006;noviembre;29.661;;;;;;;;;;;;;;;;;;;
2006;diciembre;34.854;;;;;;;;;;;;;;;;;;;
2007;enero;41.189;;;;;;;;;;;;;;;;;;;
2007;febrero;32.608;;;;;;;;;;;;;;;;;;;
2007;marzo;33.742;;;;;;;;;;;;;;;;;;;
2007;abril;29.600;;;;;;;;;;;;;;;;;;;
